Total Income,  13824000
Total Costs,  26454500
Total Profit, -12630500

Outputs from each source per time period
Time Period,Gas,Coal,Nuclear,Wind,Interconnect,Hydro,Solar
1, 5208,    0, 5000,    0, 1792,    0,    0
2, 5208,    0, 5000,    0, 6892,    0,  900
3, 5208,    0, 5000,    0, 7092,    0, 2700
4, 5208,    0, 5000,    0, 8925, 1967,  900
5, 5208,    0, 5000,    0, 8925,  867,    0
6, 5208,    0, 5000,    0, 7792,    0,    0
Max. Output,6000,6000,5000,0,20000,2000, N/A

Increase in Output for each source per time period
Time Period,Gas,Coal,Nuclear,Wind,Interconnect,Hydro,Solar
1,     0,     0,     0,     0,     0,     0,     0
2,     0,     0,     0,     0,  5100,     0,     0
3,     0,     0,     0,     0,   200,     0,     0
4,     0,     0,     0,     0,  1833,  1967,     0
5,     0,     0,     0,     0,     0,     0,     0
6,     0,     0,     0,     0,     0,     0,     0
Total increase in cost,       0,       0,       0,       0,  356667,    9833,       0

Demand and Water Report
Time,Demand,Total Output,Reserve,Power Demand for Pump
1,72000,72000, 3200,    0
2,36000,36000, 4000,    0
3,160000,160000, 7200,    0
4,88000,88000,933.333,    0
5,40000,40000,    0,    0
6,36000,36000,  800,    0
